1	43697	5	2011-05-31 00:00:00
2	43697	9	2011-05-31 00:00:00
3	43702	5	2011-06-01 00:00:00
4	43702	9	2011-06-01 00:00:00
5	43703	5	2011-06-01 00:00:00
6	43703	9	2011-06-01 00:00:00
7	43706	5	2011-06-02 00:00:00
8	43706	9	2011-06-02 00:00:00
9	43707	5	2011-06-02 00:00:00
10	43707	9	2011-06-02 00:00:00
11	43709	5	2011-06-02 00:00:00
12	43709	9	2011-06-02 00:00:00
13	43710	5	2011-06-02 00:00:00
14	43710	9	2011-06-02 00:00:00
15	43711	5	2011-06-03 00:00:00
16	43711	9	2011-06-03 00:00:00
17	43712	5	2011-06-03 00:00:00
18	43712	9	2011-06-03 00:00:00
19	43713	5	2011-06-04 00:00:00
20	43713	9	2011-06-04 00:00:00
21	43714	5	2011-06-04 00:00:00
22	43714	9	2011-06-04 00:00:00
23	43715	5	2011-06-04 00:00:00
24	43715	9	2011-06-04 00:00:00
25	43716	5	2011-06-04 00:00:00
26	43716	9	2011-06-04 00:00:00
27	43718	5	2011-06-05 00:00:00
28	43718	9	2011-06-05 00:00:00
29	43719	5	2011-06-05 00:00:00
30	43719	9	2011-06-05 00:00:00
31	43720	5	2011-06-05 00:00:00
32	43720	9	2011-06-05 00:00:00
33	43721	5	2011-06-05 00:00:00
34	43721	9	2011-06-05 00:00:00
35	43722	5	2011-06-06 00:00:00
36	43722	9	2011-06-06 00:00:00
37	43724	5	2011-06-06 00:00:00
38	43724	9	2011-06-06 00:00:00
39	43725	5	2011-06-07 00:00:00
40	43725	9	2011-06-07 00:00:00
41	43727	5	2011-06-07 00:00:00
42	43727	9	2011-06-07 00:00:00
43	43728	5	2011-06-08 00:00:00
44	43728	9	2011-06-08 00:00:00
45	43731	5	2011-06-08 00:00:00
46	43731	9	2011-06-08 00:00:00
47	43733	5	2011-06-08 00:00:00
48	43733	9	2011-06-08 00:00:00
49	43734	5	2011-06-09 00:00:00
50	43734	9	2011-06-09 00:00:00
51	43735	5	2011-06-09 00:00:00
52	43735	9	2011-06-09 00:00:00
53	43737	5	2011-06-10 00:00:00
54	43737	9	2011-06-10 00:00:00
55	43738	5	2011-06-10 00:00:00
56	43738	9	2011-06-10 00:00:00
57	43739	5	2011-06-10 00:00:00
58	43739	9	2011-06-10 00:00:00
59	43740	5	2011-06-10 00:00:00
60	43740	9	2011-06-10 00:00:00
61	43741	5	2011-06-11 00:00:00
62	43741	9	2011-06-11 00:00:00
63	43742	5	2011-06-11 00:00:00
64	43742	9	2011-06-11 00:00:00
65	43744	5	2011-06-11 00:00:00
66	43744	9	2011-06-11 00:00:00
67	43745	5	2011-06-12 00:00:00
68	43745	9	2011-06-12 00:00:00
69	43746	5	2011-06-12 00:00:00
70	43746	9	2011-06-12 00:00:00
71	43747	5	2011-06-13 00:00:00
72	43747	9	2011-06-13 00:00:00
