1	1	1580	17	47.87	50.2635	2011-08-29 00:00:00	1	5	3	CS 	2011-08-29 00:00:00
2	2	1688	19	39.92	41.916	2011-08-29 00:00:00	1	5	3	CTN	2011-08-29 00:00:00
3	4	1650	17	54.31	57.0255	2011-08-29 00:00:00	1	5		CTN	2011-08-29 00:00:00
4	317	1578	19	28.17	29.5785	2011-08-29 00:00:00	100	1000	300	EA 	2011-08-29 00:00:00
5	317	1678	17	25.77	27.0585	2011-08-25 00:00:00	100	1000		EA 	2011-08-25 00:00:00
6	318	1578	19	34.38	36.099	2011-08-29 00:00:00	100	1000		EA 	2011-08-29 00:00:00
7	318	1678	17	31.98	33.579	2011-08-25 00:00:00	100	1000	300	EA 	2011-08-25 00:00:00
8	319	1556	19	44.21	46.4205	2011-08-29 00:00:00	100	1000	300	EA 	2011-08-29 00:00:00
9	319	1578	19	46.27	48.5835	2011-08-29 00:00:00	100	1000		EA 	2011-08-29 00:00:00
10	319	1678	17	43.87	46.0635	2011-08-25 00:00:00	100	1000		EA 	2011-08-25 00:00:00
11	320	1514	19	47.28	49.644	2011-08-29 00:00:00	1	5	3	CAN	2011-08-29 00:00:00
12	320	1602	17	45.21	47.4705	2011-08-19 00:00:00	1	5		CAN	2011-08-19 00:00:00
13	320	1604	17	43.21	45.3705	2011-08-25 00:00:00	1	5		CAN	2011-08-25 00:00:00
14	321	1514	19	42.21	44.3205	2011-08-29 00:00:00	1	5		CAN	2011-08-29 00:00:00
15	321	1602	17	40.76	42.798	2011-08-19 00:00:00	1	5		CAN	2011-08-19 00:00:00
16	321	1604	17	38.56	40.488	2011-08-25 00:00:00	1	5		CAN	2011-08-25 00:00:00
17	322	1514	19	27.33	28.6965	2011-08-24 00:00:00	20	100		DZ 	2011-08-24 00:00:00
18	322	1602	17	24.21	25.4205	2011-08-25 00:00:00	20	100		DZ 	2011-08-25 00:00:00
19	322	1604	17	25.11	26.3655	2011-08-25 00:00:00	20	100		DZ 	2011-08-25 00:00:00
20	323	1698	17	47.87	50.2635	2011-08-25 00:00:00	1	5		CS 	2011-08-25 00:00:00
21	325	1590	19	0.2	0.21	2011-08-29 00:00:00	500	2000		EA 	2011-08-29 00:00:00
22	326	1590	19	0.2	0.21	2011-08-29 00:00:00	500	2000		EA 	2011-08-29 00:00:00
23	332	1608	19	10.3	10.815	2011-08-29 00:00:00	100	1000		EA 	2011-08-29 00:00:00
24	341	1598	15	39.21	41.1705	2011-08-26 00:00:00	1	5	3	CTN	2011-08-26 00:00:00
25	341	1614	19	45.31	47.5755	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
26	341	1622	19	45.21	47.4705	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
27	342	1598	15	37.21	39.0705	2011-08-26 00:00:00	1	5	3	CTN	2011-08-26 00:00:00
28	342	1614	19	43.31	45.4755	2011-08-28 00:00:00	1	5		CTN	2011-08-28 00:00:00
29	342	1622	19	43.21	45.3705	2011-08-22 00:00:00	1	5		CTN	2011-08-22 00:00:00
30	343	1598	15	41.28	43.344	2011-08-26 00:00:00	1	5		CTN	2011-08-26 00:00:00
